Date,Global_active_power
16/12/2006,1209.176
17/12/2006,3390.46
18/12/2006,2203.826
19/12/2006,1666.194
20/12/2006,2225.748
21/12/2006,1716.624
22/12/2006,2341.338
23/12/2006,4773.386
24/12/2006,2550.012
25/12/2006,2743.12
26/12/2006,3934.11
27/12/2006,1528.76
28/12/2006,2072.638
29/12/2006,3174.392
30/12/2006,2789.302
31/12/2006,3494.196
1/1/2007,2749.004
2/1/2007,1269.236
3/1/2007,1014.054
4/1/2007,3259.412
5/1/2007,2713.364
6/1/2007,1508.378
7/1/2007,2447.62
8/1/2007,2241.36
9/1/2007,1869.054
10/1/2007,2154.8
11/1/2007,2255.194
12/1/2007,1461.296
13/1/2007,3186.814
14/1/2007,3007.816
15/1/2007,2148.678
16/1/2007,1686.404
17/1/2007,2847.688
18/1/2007,1821.462
19/1/2007,1480.44
20/1/2007,3133.732
21/1/2007,3407.262
22/1/2007,2180.494
23/1/2007,1777.64
24/1/2007,2987.854
25/1/2007,1596.344
26/1/2007,1617.972
27/1/2007,2044.072
28/1/2007,3090.204
29/1/2007,1982.664
30/1/2007,1707.798
31/1/2007,2363.752
1/2/2007,1824.76
2/2/2007,1667.736
3/2/2007,4029.722
4/2/2007,3595.94
5/2/2007,1645.28
6/2/2007,1273.48
7/2/2007,2328.018
8/2/2007,1801.414
9/2/2007,1620.198
10/2/2007,2829.328
11/2/2007,3571.228
12/2/2007,1877.61
13/2/2007,1414.546
14/2/2007,2498.672
15/2/2007,1985.346
16/2/2007,1702.528
17/2/2007,2076.912
18/2/2007,3829.762
19/2/2007,2186.614
20/2/2007,3149.928
21/2/2007,2072.874
22/2/2007,3369.478
23/2/2007,1313.48
24/2/2007,714.922
25/2/2007,501.74
26/2/2007,568.484
27/2/2007,518.112
28/2/2007,520.774
1/3/2007,517.564
2/3/2007,515.688
3/3/2007,819.122
4/3/2007,2090.7
5/3/2007,2660.332
6/3/2007,1246.5
7/3/2007,2375.206
8/3/2007,1572.132
9/3/2007,1272.612
10/3/2007,2484.712
11/3/2007,3480.636
12/3/2007,1950.668
13/3/2007,1290.144
14/3/2007,1793.364
15/3/2007,1884.814
16/3/2007,1702.054
17/3/2007,2028.09
18/3/2007,2371.046
19/3/2007,2152.518
20/3/2007,2086.228
21/3/2007,2142.092
22/3/2007,1454.978
23/3/2007,1309.008
24/3/2007,2968.43
25/3/2007,3336.124
26/3/2007,1416.082
27/3/2007,1105.14
28/3/2007,2333.898
29/3/2007,1590.406
30/3/2007,1402.394
31/3/2007,3509.51
1/4/2007,2785.952
2/4/2007,1960.778
3/4/2007,1642.82
4/4/2007,2051.868
5/4/2007,1844.078
6/4/2007,1601.14
7/4/2007,1553.924
8/4/2007,1608.816
9/4/2007,1000.92
10/4/2007,777.364
11/4/2007,887.482
12/4/2007,537.706
13/4/2007,551.022
14/4/2007,554.268
15/4/2007,726.164
16/4/2007,952.39
17/4/2007,1223.734
18/4/2007,998.246
19/4/2007,1028.658
20/4/2007,822.58
21/4/2007,1673.656
22/4/2007,2233.714
23/4/2007,1054.566
24/4/2007,1032.1
25/4/2007,1264.162
26/4/2007,1275.466
27/4/2007,1094.332
28/4/2007,22.738
29/4/2007,
30/4/2007,420.822
1/5/2007,1663.858
2/5/2007,1003.486
3/5/2007,1090.238
4/5/2007,998.128
5/5/2007,1563.052
6/5/2007,2102.104
7/5/2007,1643.664
8/5/2007,1789.292
9/5/2007,1665.736
10/5/2007,707.884
11/5/2007,979.154
12/5/2007,1441.566
13/5/2007,1634.738
14/5/2007,1467.782
15/5/2007,904.392
16/5/2007,1692.944
17/5/2007,1231.816
18/5/2007,1631.53
19/5/2007,1429.442
20/5/2007,1968.328
21/5/2007,1120.062
22/5/2007,1132.852
23/5/2007,1464.936
24/5/2007,1154.388
25/5/2007,1614.22
26/5/2007,1512.248
27/5/2007,2153.808
28/5/2007,1637.468
29/5/2007,1061.34
30/5/2007,1609.866
31/5/2007,938.55
1/6/2007,1044.918
2/6/2007,1484.362
3/6/2007,2108.026
4/6/2007,911.618
5/6/2007,1458.892
6/6/2007,1693.638
7/6/2007,985.002
8/6/2007,2148.046
9/6/2007,1059.814
10/6/2007,1340.812
11/6/2007,794.654
12/6/2007,918.766
13/6/2007,927.272
14/6/2007,1259.084
15/6/2007,989.604
16/6/2007,2017.762
17/6/2007,1947.09
18/6/2007,678.474
19/6/2007,842.36
20/6/2007,1074.286
21/6/2007,806.946
22/6/2007,566.294
23/6/2007,477.566
24/6/2007,714.656
25/6/2007,1072.202
26/6/2007,944.908
27/6/2007,1480.826
28/6/2007,1295.438
29/6/2007,1304.198
30/6/2007,1335.314
1/7/2007,1026.664
2/7/2007,967.032
3/7/2007,1059.912
4/7/2007,1003.41
5/7/2007,1057.29
6/7/2007,1069.524
7/7/2007,1358.206
8/7/2007,1089.08
9/7/2007,1180.158
10/7/2007,908.324
11/7/2007,722.352
12/7/2007,1069.582
13/7/2007,794.382
14/7/2007,1288.17
15/7/2007,917.024
16/7/2007,853.674
17/7/2007,719.632
18/7/2007,757.082
19/7/2007,677.886
20/7/2007,1110.422
21/7/2007,1060.248
22/7/2007,1375.774
23/7/2007,991.018
24/7/2007,825.284
25/7/2007,472.56
26/7/2007,924.5
27/7/2007,1202.514
28/7/2007,1621.862
29/7/2007,321.116
30/7/2007,466.816
31/7/2007,812.332
1/8/2007,1060.338
2/8/2007,1019.416
3/8/2007,1063.364
4/8/2007,1144.99
5/8/2007,787.098
6/8/2007,1089.72
7/8/2007,1483.58
8/8/2007,1125.482
9/8/2007,1071.68
10/8/2007,1028.01
11/8/2007,1091.65
12/8/2007,1241.904
13/8/2007,1153.012
14/8/2007,941.19
15/8/2007,1191.86
16/8/2007,958.496
17/8/2007,1009.892
18/8/2007,347.96
19/8/2007,1422.294
20/8/2007,1338.842
21/8/2007,642.556
22/8/2007,1209.808
23/8/2007,1112.312
24/8/2007,1656.214
25/8/2007,1150.88
26/8/2007,1314.906
27/8/2007,1211.73
28/8/2007,997.004
29/8/2007,747.992
30/8/2007,1202.458
31/8/2007,1279.822
1/9/2007,1701.486
2/9/2007,1662.468
3/9/2007,1038.922
4/9/2007,1584.944
5/9/2007,1236.572
6/9/2007,901.474
7/9/2007,1336.496
8/9/2007,1469.752
9/9/2007,1679.502
10/9/2007,1117.376
11/9/2007,983.572
12/9/2007,1287.764
13/9/2007,1146.382
14/9/2007,1135.47
15/9/2007,1095.312
16/9/2007,1652.224
17/9/2007,1461.186
18/9/2007,1167.52
19/9/2007,1298.684
20/9/2007,1255.532
21/9/2007,1238.78
22/9/2007,1176.172
23/9/2007,1417.97
24/9/2007,1354.53
25/9/2007,1764.342
26/9/2007,1822.264
27/9/2007,1392.6
28/9/2007,1680.498
29/9/2007,2296.522
30/9/2007,1516.29
1/10/2007,1720.922
2/10/2007,2198.864
3/10/2007,1280.454
4/10/2007,1518.458
5/10/2007,1394.092
6/10/2007,1756.24
7/10/2007,2106.114
8/10/2007,1095.242
9/10/2007,1687.858
10/10/2007,1166.972
11/10/2007,1732.446
12/10/2007,1914.504
13/10/2007,1926.728
14/10/2007,2061.252
15/10/2007,1266.33
16/10/2007,1964.442
17/10/2007,1576.93
18/10/2007,1518.53
19/10/2007,2085.648
20/10/2007,1660.246
21/10/2007,1941.94
22/10/2007,1652.896
23/10/2007,1954.648
24/10/2007,1865.636
25/10/2007,1853.918
26/10/2007,1437.568
27/10/2007,1785.688
28/10/2007,512.158
29/10/2007,545.428
30/10/2007,811.008
31/10/2007,1283.21
1/11/2007,496.216
2/11/2007,1443.602
3/11/2007,492.55
4/11/2007,1485.686
5/11/2007,1500.592
6/11/2007,2082.378
7/11/2007,1844.758
8/11/2007,1501.06
9/11/2007,2171.226
10/11/2007,2611.6
11/11/2007,1887.124
12/11/2007,2156.146
13/11/2007,2214.398
14/11/2007,2047.994
15/11/2007,1491.988
16/11/2007,2309.754
17/11/2007,2610.094
18/11/2007,2183.858
19/11/2007,1723.654
20/11/2007,2095.856
21/11/2007,1751.836
22/11/2007,1932.378
23/11/2007,2522.618
24/11/2007,1899.054
25/11/2007,1395.598
26/11/2007,1569.716
27/11/2007,2801.012
28/11/2007,1644.94
29/11/2007,1719.23
30/11/2007,2331.728
1/12/2007,3134.942
2/12/2007,2946.188
3/12/2007,1762.06
4/12/2007,2067.636
5/12/2007,2153.12
6/12/2007,2487.934
7/12/2007,1769.016
8/12/2007,2213.404
9/12/2007,2274.584
10/12/2007,1758.754
11/12/2007,2305.104
12/12/2007,1588.062
13/12/2007,1847.746
14/12/2007,1974.808
15/12/2007,2736.876
16/12/2007,2762.218
17/12/2007,1797.066
18/12/2007,2623.194
19/12/2007,2196.052
20/12/2007,1949.758
21/12/2007,1982.576
22/12/2007,2611.264
23/12/2007,2409.048
24/12/2007,2257.848
25/12/2007,2694.968
26/12/2007,2580.28
27/12/2007,2532.198
28/12/2007,3113.052
29/12/2007,3298.956
30/12/2007,2558.916
31/12/2007,2216.542
1/1/2008,2759.738
2/1/2008,1644.106
3/1/2008,1510.108
4/1/2008,2291.852
5/1/2008,2183.248
6/1/2008,1825.184
7/1/2008,1695.814
8/1/2008,2043.55
9/1/2008,1788.44
10/1/2008,1894.076
11/1/2008,1705.818
12/1/2008,2871.408
13/1/2008,2881.656
14/1/2008,2024.932
15/1/2008,2686.912
16/1/2008,2135.852
17/1/2008,1572.282
18/1/2008,2186.988
19/1/2008,1980.306
20/1/2008,1740.368
21/1/2008,1858.998
22/1/2008,2325.018
23/1/2008,1882.308
24/1/2008,1645.022
25/1/2008,2239.856
26/1/2008,2834.988
27/1/2008,2381.766
28/1/2008,2308.196
29/1/2008,2676.024
30/1/2008,1640.646
31/1/2008,1953.922
1/2/2008,1534.652
2/2/2008,2936.034
3/2/2008,2084.568
4/2/2008,1628.138
5/2/2008,2472.456
6/2/2008,1669.54
7/2/2008,1518.31
8/2/2008,1950.564
9/2/2008,2102.276
10/2/2008,2184.714
11/2/2008,1692.016
12/2/2008,1987.798
13/2/2008,1900.498
14/2/2008,1604.622
15/2/2008,2005.208
16/2/2008,2346.948
17/2/2008,1933.368
18/2/2008,1514.404
19/2/2008,2126.916
20/2/2008,2253.79
21/2/2008,1633.85
22/2/2008,1732.564
23/2/2008,1833.97
24/2/2008,1263.008
25/2/2008,504.488
26/2/2008,507.12
27/2/2008,566.72
28/2/2008,509.184
29/2/2008,1333.348
1/3/2008,1141.876
2/3/2008,1162.226
3/3/2008,1040.55
4/3/2008,1668.99
5/3/2008,2037.208
6/3/2008,2503.208
7/3/2008,1862.956
8/3/2008,2248.66
9/3/2008,1560.458
10/3/2008,1618.686
11/3/2008,2200.042
12/3/2008,1774.232
13/3/2008,1675.514
14/3/2008,2210.22
15/3/2008,1576.3
16/3/2008,1801.96
17/3/2008,1706.918
18/3/2008,1917.566
19/3/2008,1308.448
20/3/2008,1253.274
21/3/2008,2066.442
22/3/2008,2053.516
23/3/2008,2325.99
24/3/2008,1974.668
25/3/2008,2015.856
26/3/2008,1633.472
27/3/2008,1370.822
28/3/2008,1885.424
29/3/2008,2471.15
30/3/2008,2146.392
31/3/2008,1377.57
1/4/2008,2129.052
2/4/2008,1691.672
3/4/2008,1128.756
4/4/2008,1631.918
5/4/2008,1970.762
6/4/2008,1696.318
7/4/2008,1538.838
8/4/2008,2657.516
9/4/2008,1218.852
10/4/2008,1477.746
11/4/2008,1877.664
12/4/2008,2800.014
13/4/2008,2232.986
14/4/2008,1589.582
15/4/2008,1670.406
16/4/2008,1489.064
17/4/2008,1395.862
18/4/2008,1862.39
19/4/2008,2253.71
20/4/2008,1791.418
21/4/2008,1164.156
22/4/2008,1627.676
23/4/2008,1357.328
24/4/2008,1043.772
25/4/2008,1267.734
26/4/2008,903.166
27/4/2008,1008.24
28/4/2008,659.052
29/4/2008,1972.616
30/4/2008,1101.726
1/5/2008,576.014
2/5/2008,1497.768
3/5/2008,1289.6
4/5/2008,1470.97
5/5/2008,1366.932
6/5/2008,1789.98
7/5/2008,1176.264
8/5/2008,2116.698
9/5/2008,1747.272
10/5/2008,1909.128
11/5/2008,1610.92
12/5/2008,1524.204
13/5/2008,1476.894
14/5/2008,1584.262
15/5/2008,1162.768
16/5/2008,1648.03
17/5/2008,1657.454
18/5/2008,1803.958
19/5/2008,1030.262
20/5/2008,1581.334
21/5/2008,1324.112
22/5/2008,976.868
23/5/2008,1484.916
24/5/2008,1580.176
25/5/2008,2048.504
26/5/2008,1289.71
27/5/2008,1708.7
28/5/2008,1114.372
29/5/2008,1135.076
30/5/2008,1397.244
31/5/2008,1641.47
1/6/2008,1848.876
2/6/2008,1074.012
3/6/2008,1597.816
4/6/2008,1588.912
5/6/2008,1120.078
6/6/2008,1217.714
7/6/2008,1882.484
8/6/2008,1542.322
9/6/2008,1325.698
10/6/2008,1067.09
11/6/2008,1123.206
12/6/2008,1259.332
13/6/2008,1874.28
14/6/2008,1384.92
15/6/2008,2289.102
16/6/2008,1303.044
17/6/2008,1145.084
18/6/2008,1893.608
19/6/2008,1588.082
20/6/2008,1676.104
21/6/2008,1734.254
22/6/2008,1566.416
23/6/2008,1251.796
24/6/2008,1754.452
25/6/2008,1261.77
26/6/2008,1056.02
27/6/2008,1755.152
28/6/2008,1208.8
29/6/2008,749.352
30/6/2008,804.196
1/7/2008,1215.24
2/7/2008,1147.202
3/7/2008,1098.36
4/7/2008,942.02
5/7/2008,1469.088
6/7/2008,1805.064
7/7/2008,983.39
8/7/2008,1126.214
9/7/2008,919.318
10/7/2008,1251.276
11/7/2008,1254.216
12/7/2008,1328.852
13/7/2008,1253.754
14/7/2008,1137.926
15/7/2008,1155.86
16/7/2008,1077.062
17/7/2008,1319.122
18/7/2008,1261.584
19/7/2008,1344.014
20/7/2008,941.534
21/7/2008,1156.478
22/7/2008,740.242
23/7/2008,942.63
24/7/2008,1093.45
25/7/2008,865.534
26/7/2008,815.684
27/7/2008,1147.396
28/7/2008,825.804
29/7/2008,1166.558
30/7/2008,1299.908
31/7/2008,1392.638
1/8/2008,739.576
2/8/2008,505.776
3/8/2008,504.782
4/8/2008,1125.92
5/8/2008,827.118
6/8/2008,326.112
7/8/2008,334.884
8/8/2008,302.2
9/8/2008,358.924
10/8/2008,352.032
11/8/2008,371.916
12/8/2008,288.984
13/8/2008,282.584
14/8/2008,270.258
15/8/2008,273.654
16/8/2008,274.814
17/8/2008,274.796
18/8/2008,273.758
19/8/2008,274.692
20/8/2008,268.472
21/8/2008,261.298
22/8/2008,267.124
23/8/2008,254.642
24/8/2008,254.716
25/8/2008,250.298
26/8/2008,257.564
27/8/2008,258.114
28/8/2008,268.246
29/8/2008,267.588
30/8/2008,270.424
31/8/2008,1500.614
1/9/2008,1247.51
2/9/2008,1384.154
3/9/2008,1388.486
4/9/2008,1225.22
5/9/2008,873.96
6/9/2008,1868.574
7/9/2008,1372.656
8/9/2008,1309.324
9/9/2008,1159.654
10/9/2008,1300.764
11/9/2008,1028.714
12/9/2008,1392.762
13/9/2008,1631.436
14/9/2008,1576.326
15/9/2008,1697.708
16/9/2008,1221.862
17/9/2008,1519.21
18/9/2008,1505.29
19/9/2008,1518.846
20/9/2008,1304.6
21/9/2008,1533.07
22/9/2008,1358.564
23/9/2008,1232.788
24/9/2008,1718.35
25/9/2008,1131.22
26/9/2008,1431.45
27/9/2008,2127.446
28/9/2008,1731.104
29/9/2008,1501.738
30/9/2008,1375.006
1/10/2008,1872.364
2/10/2008,1345.342
3/10/2008,1612.58
4/10/2008,2100.496
5/10/2008,1549.95
6/10/2008,1423.782
7/10/2008,1726.568
8/10/2008,1860.576
9/10/2008,1983.682
10/10/2008,1518.338
11/10/2008,1669.386
12/10/2008,1907.94
13/10/2008,1461.976
14/10/2008,1609.056
15/10/2008,2156.896
16/10/2008,1583.68
17/10/2008,1866.886
18/10/2008,2239.19
19/10/2008,1971.934
20/10/2008,1667.554
21/10/2008,2063.716
22/10/2008,1646.01
23/10/2008,1830.494
24/10/2008,2133.226
25/10/2008,1523.156
26/10/2008,523.492
27/10/2008,523.892
28/10/2008,1327.29
29/10/2008,1612.576
30/10/2008,1098.6
31/10/2008,1285.832
1/11/2008,830.498
2/11/2008,910.614
3/11/2008,847.6
4/11/2008,1562.316
5/11/2008,3134.93
6/11/2008,1588.438
7/11/2008,1619.184
8/11/2008,1733.138
9/11/2008,2578.538
10/11/2008,2091.88
11/11/2008,2455.95
12/11/2008,2186.494
13/11/2008,1238.46
14/11/2008,1621.738
15/11/2008,3031.628
16/11/2008,2365.432
17/11/2008,1523.636
18/11/2008,1749.05
19/11/2008,1840.238
20/11/2008,1692.336
21/11/2008,1673.93
22/11/2008,1711.368
23/11/2008,3405.324
24/11/2008,3212.998
25/11/2008,2702.85
26/11/2008,1515.954
27/11/2008,2362.218
28/11/2008,1885.964
29/11/2008,2434.668
30/11/2008,2401.388
1/12/2008,1616.538
2/12/2008,1793.444
3/12/2008,1755.164
4/12/2008,1738.638
5/12/2008,2058.618
6/12/2008,2523.836
7/12/2008,2466.74
8/12/2008,1868.636
9/12/2008,2003.144
10/12/2008,2111.02
11/12/2008,1432.522
12/12/2008,1815.534
13/12/2008,1825.574
14/12/2008,2002.12
15/12/2008,1795.45
16/12/2008,1797.09
17/12/2008,2098.786
18/12/2008,1736.94
19/12/2008,1882.112
20/12/2008,2242.502
21/12/2008,2643.61
22/12/2008,2015.808
23/12/2008,1798.088
24/12/2008,1269.638
25/12/2008,1061.118
26/12/2008,1223.732
27/12/2008,2972.164
28/12/2008,1570.642
29/12/2008,555.278
30/12/2008,1195.238
31/12/2008,1964.188
1/1/2009,1406.692
2/1/2009,2327.51
3/1/2009,1913.496
4/1/2009,1939.994
5/1/2009,1604
6/1/2009,1689.862
7/1/2009,2080.272
8/1/2009,1633.27
9/1/2009,1788.702
10/1/2009,2102.948
11/1/2009,1975.988
12/1/2009,1589.278
13/1/2009,2182.6
14/1/2009,1776.282
15/1/2009,1564.068
16/1/2009,2766.554
17/1/2009,3317.82
18/1/2009,3154.194
19/1/2009,1699.866
20/1/2009,1738.028
21/1/2009,1739.434
22/1/2009,1237.356
23/1/2009,1910.536
24/1/2009,2200.77
25/1/2009,2843.664
26/1/2009,1674.472
27/1/2009,1425.03
28/1/2009,2721.734
29/1/2009,1573.698
30/1/2009,2059.038
31/1/2009,3312.852
1/2/2009,1807.46
2/2/2009,1603.3
3/2/2009,1868.39
4/2/2009,2460.924
5/2/2009,1649.088
6/2/2009,2048.396
7/2/2009,3131.536
8/2/2009,2182.866
9/2/2009,1706.638
10/2/2009,1943.822
11/2/2009,2639.39
12/2/2009,1968.66
13/2/2009,1690.022
14/2/2009,2332.594
15/2/2009,1586.032
16/2/2009,1318.994
17/2/2009,781.698
18/2/2009,826.45
19/2/2009,737.268
20/2/2009,1880.736
21/2/2009,1316.184
22/2/2009,2238.478
23/2/2009,2733.656
24/2/2009,1783.144
25/2/2009,1169.844
26/2/2009,1156.852
27/2/2009,2028.918
28/2/2009,1630.75
1/3/2009,2467.626
2/3/2009,1477.442
3/3/2009,1848.952
4/3/2009,1842.13
5/3/2009,1441.812
6/3/2009,1783.474
7/3/2009,1696.466
8/3/2009,2357.166
9/3/2009,1685.556
10/3/2009,1836.21
11/3/2009,2405.904
12/3/2009,1887.26
13/3/2009,1445.52
14/3/2009,2149.028
15/3/2009,1942.062
16/3/2009,1334.732
17/3/2009,1931.91
18/3/2009,1450.68
19/3/2009,1191.532
20/3/2009,1463.906
21/3/2009,1930.022
22/3/2009,1689.17
23/3/2009,1296.45
24/3/2009,1661.712
25/3/2009,1838.774
26/3/2009,1211.004
27/3/2009,1713.926
28/3/2009,2260.976
29/3/2009,2216.65
30/3/2009,1477.452
31/3/2009,1823.482
1/4/2009,1641.14
2/4/2009,1644.334
3/4/2009,1363.26
4/4/2009,2191.232
5/4/2009,1375.716
6/4/2009,1452.634
7/4/2009,1440.092
8/4/2009,1534.6
9/4/2009,1890.472
10/4/2009,1842.114
11/4/2009,2462.446
12/4/2009,2141.012
13/4/2009,1598.624
14/4/2009,1501.538
15/4/2009,1216.062
16/4/2009,1564.524
17/4/2009,2042.81
18/4/2009,1512.266
19/4/2009,1286.468
20/4/2009,1486.51
21/4/2009,1894.598
22/4/2009,1496.198
23/4/2009,1141.46
24/4/2009,1194.048
25/4/2009,2022.284
26/4/2009,1781.626
27/4/2009,1351.628
28/4/2009,1706.386
29/4/2009,1664.68
30/4/2009,1834.762
1/5/2009,1512.802
2/5/2009,1393.91
3/5/2009,1608.878
4/5/2009,1667.882
5/5/2009,1731.474
6/5/2009,1349.902
7/5/2009,1012.648
8/5/2009,1857.156
9/5/2009,1261.352
10/5/2009,1966.552
11/5/2009,1517.176
12/5/2009,1625.956
13/5/2009,1246.398
14/5/2009,1606.984
15/5/2009,1422.226
16/5/2009,2007.378
17/5/2009,1543.764
18/5/2009,1209.906
19/5/2009,1617.344
20/5/2009,1307.162
21/5/2009,1575.15
22/5/2009,1074.806
23/5/2009,1530.598
24/5/2009,1287.786
25/5/2009,1354.096
26/5/2009,1337.674
27/5/2009,1544.292
28/5/2009,1179.736
29/5/2009,1242.846
30/5/2009,1659.106
31/5/2009,956.89
1/6/2009,1443.26
2/6/2009,1090.638
3/6/2009,1356.578
4/6/2009,1035.66
5/6/2009,1230.36
6/6/2009,1475.45
7/6/2009,1207.392
8/6/2009,1178.776
9/6/2009,1332.85
10/6/2009,1602.996
11/6/2009,1300.65
12/6/2009,1101.732
13/6/2009,14.218
14/6/2009,
15/6/2009,771.908
16/6/2009,1508.792
17/6/2009,988.016
18/6/2009,1165.7
19/6/2009,1086.866
20/6/2009,1107.1
21/6/2009,855.142
22/6/2009,1094.098
23/6/2009,1039.214
24/6/2009,1534.874
25/6/2009,771.362
26/6/2009,1277.322
27/6/2009,1709.052
28/6/2009,1059.394
29/6/2009,1010.134
30/6/2009,1192.446
1/7/2009,1218.342
2/7/2009,1242.578
3/7/2009,864.148
4/7/2009,1238.568
5/7/2009,1410.736
6/7/2009,954.26
7/7/2009,1110.136
8/7/2009,1234.4
9/7/2009,846.252
10/7/2009,1187.118
11/7/2009,993.968
12/7/2009,513.478
13/7/2009,496.746
14/7/2009,911.43
15/7/2009,718.074
16/7/2009,599.554
17/7/2009,731.808
18/7/2009,966.41
19/7/2009,1203.644
20/7/2009,662.486
21/7/2009,813.762
22/7/2009,739.532
23/7/2009,1030
24/7/2009,561.738
25/7/2009,536.688
26/7/2009,543.016
27/7/2009,688.566
28/7/2009,902.85
29/7/2009,902
30/7/2009,792.326
31/7/2009,975.83
1/8/2009,706.966
2/8/2009,489.724
3/8/2009,500.298
4/8/2009,508.892
5/8/2009,518.652
6/8/2009,532.672
7/8/2009,539.296
8/8/2009,526.472
9/8/2009,998.234
10/8/2009,1069.358
11/8/2009,950.954
12/8/2009,824.436
13/8/2009,606.842
14/8/2009,748.676
15/8/2009,1514.062
16/8/2009,1217.712
17/8/2009,785.908
18/8/2009,1080.598
19/8/2009,880.742
20/8/2009,775.722
21/8/2009,1161.746
22/8/2009,1548.738
23/8/2009,1066.708
24/8/2009,1252.254
25/8/2009,943.61
26/8/2009,1136.546
27/8/2009,749.466
28/8/2009,1118.842
29/8/2009,1388.414
30/8/2009,1668.342
31/8/2009,1265.522
1/9/2009,980.536
2/9/2009,1222.814
3/9/2009,1251.188
4/9/2009,1024.388
5/9/2009,1513.866
6/9/2009,1228.63
7/9/2009,1221.458
8/9/2009,1086.254
9/9/2009,1521.344
10/9/2009,1112.354
11/9/2009,1214.146
12/9/2009,2064.358
13/9/2009,1570.302
14/9/2009,1574.858
15/9/2009,1456.806
16/9/2009,1743.162
17/9/2009,1223.426
18/9/2009,1374.032
19/9/2009,2135.71
20/9/2009,2035.328
21/9/2009,1417.868
22/9/2009,1246.536
23/9/2009,1636.61
24/9/2009,1426.258
25/9/2009,1161.016
26/9/2009,1556.254
27/9/2009,1410.472
28/9/2009,1299.456
29/9/2009,1146.398
30/9/2009,1772.736
1/10/2009,1287.252
2/10/2009,1152.668
3/10/2009,1716.74
4/10/2009,1621.106
5/10/2009,1275.522
6/10/2009,1428.448
7/10/2009,1821.834
8/10/2009,1577.166
9/10/2009,1351.862
10/10/2009,2012.756
11/10/2009,1938.284
12/10/2009,1351.604
13/10/2009,1449.1
14/10/2009,1711.224
15/10/2009,1489.976
16/10/2009,1516.86
17/10/2009,2742.08
18/10/2009,1556.164
19/10/2009,1369.108
20/10/2009,1722.808
21/10/2009,1969.506
22/10/2009,1399.71
23/10/2009,1757.45
24/10/2009,2614.408
25/10/2009,2406.536
26/10/2009,1112.344
27/10/2009,1116.756
28/10/2009,1268.708
29/10/2009,1981.44
30/10/2009,1493.358
31/10/2009,1875.942
1/11/2009,1843.168
2/11/2009,1504.226
3/11/2009,2266.688
4/11/2009,1801.8
5/11/2009,1560.466
6/11/2009,1390.45
7/11/2009,1557.176
8/11/2009,2508.002
9/11/2009,1404.752
10/11/2009,1606.184
11/11/2009,2040.48
12/11/2009,1463.066
13/11/2009,1532.926
14/11/2009,2560.456
15/11/2009,1967.308
16/11/2009,1514.468
17/11/2009,1708.294
18/11/2009,2639.174
19/11/2009,1474.848
20/11/2009,1961.016
21/11/2009,2496.856
22/11/2009,2450.976
23/11/2009,1471.122
24/11/2009,2128.856
25/11/2009,1980.13
26/11/2009,1599.626
27/11/2009,1380.026
28/11/2009,1858.95
29/11/2009,1650.962
30/11/2009,1745.19
1/12/2009,1756.378
2/12/2009,2345.668
3/12/2009,1479.688
4/12/2009,1711.294
5/12/2009,2351.762
6/12/2009,2378.288
7/12/2009,1742.638
8/12/2009,2006.884
9/12/2009,1802.356
10/12/2009,2054.286
11/12/2009,1784.462
12/12/2009,1816.38
13/12/2009,2138.814
14/12/2009,1794.862
15/12/2009,1940.116
16/12/2009,1394.874
17/12/2009,1717.182
18/12/2009,1744.706
19/12/2009,2204.334
20/12/2009,1144.166
